Circuit Name,No of Lines,No of Gates,Library,Fault Model,Population Size,Threshold,Total Faults,Detected Faults,Fault Coverage,Minimal Vector Set,Execution Time,Detected Fault Locations
3_17_13,3,6,MCT,CAF,20,100.0,5,5,100.0,"[0, 5]",0.014999999999417923,"{'Gate_2_Wire_0', 'Gate_1_Wire_1', 'Gate_0_Wire_0', 'Gate_0_Wire_1', 'Gate_5_Wire_0'}"
4_49_17,4,12,MCT,CAF,20,100.0,21,21,100.0,"[4, 9, 10, 6]",1.875,"{'Gate_3_Wire_2', 'Gate_9_Wire_2', 'Gate_6_Wire_1', 'Gate_9_Wire_3', 'Gate_10_Wire_0', 'Gate_1_Wire_1', 'Gate_4_Wire_2', 'Gate_8_Wire_2', 'Gate_11_Wire_1', 'Gate_0_Wire_3', 'Gate_4_Wire_1', 'Gate_1_Wire_2', 'Gate_11_Wire_0', 'Gate_0_Wire_1', 'Gate_5_Wire_0', 'Gate_2_Wire_2', 'Gate_9_Wire_1', 'Gate_1_Wire_3', 'Gate_7_Wire_3', 'Gate_10_Wire_2', 'Gate_2_Wire_1'}"
4gt12-v0_86,5,14,MCT,CAF,20,100.0,36,36,100.0,"[14, 12, 26, 9, 17]",19.218999999997322,"{'Gate_2_Wire_4', 'Gate_1_Wire_4', 'Gate_12_Wire_2', 'Gate_10_Wire_0', 'Gate_10_Wire_1', 'Gate_4_Wire_2', 'Gate_0_Wire_3', 'Gate_13_Wire_2', 'Gate_11_Wire_0', 'Gate_4_Wire_0', 'Gate_8_Wire_3', 'Gate_5_Wire_0', 'Gate_10_Wire_3', 'Gate_11_Wire_3', 'Gate_12_Wire_3', 'Gate_0_Wire_0', 'Gate_5_Wire_2', 'Gate_3_Wire_1', 'Gate_2_Wire_1', 'Gate_3_Wire_0', 'Gate_13_Wire_3', 'Gate_9_Wire_2', 'Gate_13_Wire_1', 'Gate_1_Wire_0', 'Gate_3_Wire_4', 'Gate_8_Wire_2', 'Gate_11_Wire_2', 'Gate_7_Wire_1', 'Gate_12_Wire_1', 'Gate_4_Wire_1', 'Gate_9_Wire_0', 'Gate_9_Wire_1', 'Gate_2_Wire_0', 'Gate_1_Wire_3', 'Gate_5_Wire_1', 'Gate_0_Wire_4'}"
alu-v0_26,5,6,MCT,CAF,20,100.0,16,16,100.0,"[12, 6, 11, 17]",0.8120000000053551,"{'Gate_3_Wire_0', 'Gate_3_Wire_2', 'Gate_1_Wire_4', 'Gate_5_Wire_3', 'Gate_4_Wire_4', 'Gate_3_Wire_1', 'Gate_5_Wire_0', 'Gate_5_Wire_4', 'Gate_2_Wire_0', 'Gate_1_Wire_1', 'Gate_1_Wire_3', 'Gate_5_Wire_1', 'Gate_0_Wire_3', 'Gate_0_Wire_0', 'Gate_4_Wire_1', 'Gate_0_Wire_4'}"
cnt3-5_180,16,20,MCT,CAF,20,100.0,260,182,0.0,[],180.0,"{'Gate_8_Wire_14', 'Gate_2_Wire_10', 'Gate_10_Wire_6', 'Gate_6_Wire_2', 'Gate_18_Wire_4', 'Gate_19_Wire_8', 'Gate_3_Wire_14', 'Gate_5_Wire_15', 'Gate_18_Wire_15', 'Gate_1_Wire_10', 'Gate_11_Wire_0', 'Gate_18_Wire_7', 'Gate_11_Wire_12', 'Gate_7_Wire_14', 'Gate_10_Wire_4', 'Gate_11_Wire_4', 'Gate_6_Wire_14', 'Gate_0_Wire_8', 'Gate_6_Wire_3', 'Gate_6_Wire_15', 'Gate_9_Wire_2', 'Gate_9_Wire_14', 'Gate_3_Wire_6', 'Gate_9_Wire_4', 'Gate_4_Wire_3', 'Gate_0_Wire_12', 'Gate_11_Wire_7', 'Gate_11_Wire_1', 'Gate_19_Wire_5', 'Gate_11_Wire_2', 'Gate_1_Wire_2', 'Gate_10_Wire_5', 'Gate_8_Wire_10', 'Gate_10_Wire_13', 'Gate_3_Wire_9', 'Gate_0_Wire_2', 'Gate_3_Wire_8', 'Gate_17_Wire_10', 'Gate_1_Wire_5', 'Gate_4_Wire_15', 'Gate_11_Wire_13', 'Gate_14_Wire_10', 'Gate_10_Wire_15', 'Gate_18_Wire_6', 'Gate_3_Wire_10', 'Gate_2_Wire_2', 'Gate_7_Wire_4', 'Gate_8_Wire_15', 'Gate_6_Wire_0', 'Gate_15_Wire_1', 'Gate_19_Wire_13', 'Gate_15_Wire_12', 'Gate_9_Wire_5', 'Gate_10_Wire_0', 'Gate_10_Wire_1', 'Gate_18_Wire_11', 'Gate_14_Wire_8', 'Gate_2_Wire_9', 'Gate_4_Wire_0', 'Gate_18_Wire_8', 'Gate_5_Wire_3', 'Gate_2_Wire_12', 'Gate_11_Wire_5', 'Gate_6_Wire_4', 'Gate_4_Wire_5', 'Gate_16_Wire_9', 'Gate_18_Wire_0', 'Gate_11_Wire_15', 'Gate_5_Wire_0', 'Gate_6_Wire_5', 'Gate_7_Wire_15', 'Gate_19_Wire_0', 'Gate_16_Wire_6', 'Gate_2_Wire_11', 'Gate_16_Wire_5', 'Gate_3_Wire_11', 'Gate_9_Wire_3', 'Gate_19_Wire_11', 'Gate_1_Wire_8', 'Gate_3_Wire_4', 'Gate_7_Wire_0', 'Gate_14_Wire_11', 'Gate_8_Wire_2', 'Gate_16_Wire_15', 'Gate_19_Wire_4', 'Gate_19_Wire_12', 'Gate_19_Wire_7', 'Gate_10_Wire_12', 'Gate_14_Wire_7', 'Gate_9_Wire_0', 'Gate_9_Wire_12', 'Gate_16_Wire_14', 'Gate_15_Wire_10', 'Gate_15_Wire_4', 'Gate_14_Wire_12', 'Gate_15_Wire_0', 'Gate_9_Wire_10', 'Gate_17_Wire_5', 'Gate_17_Wire_12', 'Gate_9_Wire_11', 'Gate_17_Wire_7', 'Gate_9_Wire_15', 'Gate_0_Wire_10', 'Gate_10_Wire_10', 'Gate_2_Wire_5', 'Gate_15_Wire_15', 'Gate_19_Wire_1', 'Gate_17_Wire_14', 'Gate_8_Wire_3', 'Gate_4_Wire_9', 'Gate_15_Wire_13', 'Gate_10_Wire_3', 'Gate_11_Wire_3', 'Gate_7_Wire_5', 'Gate_16_Wire_11', 'Gate_0_Wire_0', 'Gate_18_Wire_12', 'Gate_3_Wire_3', 'Gate_3_Wire_0', 'Gate_16_Wire_7', 'Gate_3_Wire_2', 'Gate_10_Wire_14', 'Gate_0_Wire_5', 'Gate_2_Wire_8', 'Gate_8_Wire_5', 'Gate_8_Wire_6', 'Gate_15_Wire_9', 'Gate_6_Wire_8', 'Gate_19_Wire_14', 'Gate_3_Wire_7', 'Gate_18_Wire_10', 'Gate_15_Wire_7', 'Gate_8_Wire_11', 'Gate_17_Wire_6', 'Gate_15_Wire_11', 'Gate_11_Wire_14', 'Gate_2_Wire_0', 'Gate_11_Wire_11', 'Gate_19_Wire_10', 'Gate_0_Wire_4', 'Gate_7_Wire_10', 'Gate_10_Wire_2', 'Gate_2_Wire_4', 'Gate_7_Wire_7', 'Gate_1_Wire_4', 'Gate_17_Wire_11', 'Gate_16_Wire_8', 'Gate_8_Wire_12', 'Gate_14_Wire_15', 'Gate_11_Wire_10', 'Gate_18_Wire_5', 'Gate_16_Wire_0', 'Gate_3_Wire_12', 'Gate_15_Wire_8', 'Gate_16_Wire_10', 'Gate_14_Wire_2', 'Gate_10_Wire_11', 'Gate_17_Wire_8', 'Gate_5_Wire_5', 'Gate_8_Wire_0', 'Gate_11_Wire_6', 'Gate_3_Wire_5', 'Gate_19_Wire_15', 'Gate_4_Wire_8', 'Gate_7_Wire_3', 'Gate_8_Wire_4', 'Gate_16_Wire_12', 'Gate_7_Wire_9', 'Gate_18_Wire_14', 'Gate_19_Wire_9', 'Gate_15_Wire_2', 'Gate_7_Wire_2', 'Gate_1_Wire_0', 'Gate_2_Wire_6', 'Gate_15_Wire_14', 'Gate_17_Wire_15', 'Gate_2_Wire_3', 'Gate_7_Wire_8', 'Gate_16_Wire_4', 'Gate_17_Wire_4', 'Gate_19_Wire_6', 'Gate_5_Wire_8'}"
cycle10_2_110,12,19,MCT,CAF,20,100.0,109,67,0.0,[],180.0,"{'Gate_18_Wire_4', 'Gate_6_Wire_7', 'Gate_17_Wire_7', 'Gate_18_Wire_7', 'Gate_4_Wire_6', 'Gate_8_Wire_3', 'Gate_4_Wire_9', 'Gate_18_Wire_3', 'Gate_5_Wire_7', 'Gate_7_Wire_5', 'Gate_18_Wire_1', 'Gate_7_Wire_6', 'Gate_0_Wire_0', 'Gate_18_Wire_9', 'Gate_3_Wire_0', 'Gate_8_Wire_9', 'Gate_2_Wire_8', 'Gate_8_Wire_5', 'Gate_8_Wire_6', 'Gate_6_Wire_10', 'Gate_6_Wire_8', 'Gate_3_Wire_7', 'Gate_8_Wire_7', 'Gate_8_Wire_10', 'Gate_3_Wire_9', 'Gate_3_Wire_8', 'Gate_17_Wire_6', 'Gate_8_Wire_8', 'Gate_18_Wire_6', 'Gate_5_Wire_6', 'Gate_7_Wire_4', 'Gate_6_Wire_0', 'Gate_2_Wire_0', 'Gate_7_Wire_10', 'Gate_6_Wire_9', 'Gate_7_Wire_7', 'Gate_1_Wire_9', 'Gate_18_Wire_2', 'Gate_5_Wire_10', 'Gate_4_Wire_10', 'Gate_2_Wire_9', 'Gate_18_Wire_5', 'Gate_4_Wire_0', 'Gate_18_Wire_8', 'Gate_6_Wire_4', 'Gate_5_Wire_0', 'Gate_5_Wire_5', 'Gate_17_Wire_8', 'Gate_8_Wire_0', 'Gate_6_Wire_5', 'Gate_6_Wire_6', 'Gate_17_Wire_9', 'Gate_4_Wire_8', 'Gate_7_Wire_3', 'Gate_8_Wire_4', 'Gate_7_Wire_9', 'Gate_1_Wire_0', 'Gate_4_Wire_7', 'Gate_17_Wire_2', 'Gate_5_Wire_9', 'Gate_7_Wire_0', 'Gate_8_Wire_2', 'Gate_7_Wire_8', 'Gate_17_Wire_3', 'Gate_17_Wire_4', 'Gate_5_Wire_8', 'Gate_17_Wire_5'}"
graycode6_47,6,5,NCT,CAF,20,100.0,20,20,100.0,"[63, 28, 50, 9]",1.2819999999919673,"{'Gate_3_Wire_0', 'Gate_2_Wire_4', 'Gate_3_Wire_2', 'Gate_1_Wire_4', 'Gate_0_Wire_5', 'Gate_1_Wire_0', 'Gate_4_Wire_3', 'Gate_4_Wire_2', 'Gate_0_Wire_3', 'Gate_4_Wire_1', 'Gate_4_Wire_0', 'Gate_0_Wire_2', 'Gate_2_Wire_5', 'Gate_1_Wire_5', 'Gate_2_Wire_0', 'Gate_1_Wire_3', 'Gate_3_Wire_5', 'Gate_0_Wire_4', 'Gate_3_Wire_1', 'Gate_2_Wire_1'}"
ham3_102,3,5,MCT,CAF,20,100.0,4,4,100.0,"[1, 2, 3]",0.0,"{'Gate_3_Wire_1', 'Gate_4_Wire_0', 'Gate_2_Wire_0', 'Gate_1_Wire_0'}"
hwb4_51,4,11,MCF,CAF,20,100.0,12,12,100.0,"[5, 9, 10]",0.062000000005355105,"{'Gate_8_Wire_1', 'Gate_7_Wire_2', 'Gate_6_Wire_1', 'Gate_9_Wire_3', 'Gate_10_Wire_0', 'Gate_1_Wire_3', 'Gate_4_Wire_2', 'Gate_8_Wire_2', 'Gate_3_Wire_3', 'Gate_1_Wire_2', 'Gate_3_Wire_1', 'Gate_2_Wire_1'}"
mod5d1_63,5,7,MCT,CAF,20,100.0,20,20,100.0,"[2, 4, 13, 19]",1.25,"{'Gate_6_Wire_3', 'Gate_3_Wire_2', 'Gate_1_Wire_4', 'Gate_6_Wire_1', 'Gate_4_Wire_3', 'Gate_1_Wire_1', 'Gate_4_Wire_2', 'Gate_2_Wire_3', 'Gate_0_Wire_2', 'Gate_6_Wire_4', 'Gate_5_Wire_0', 'Gate_2_Wire_2', 'Gate_5_Wire_4', 'Gate_2_Wire_0', 'Gate_1_Wire_3', 'Gate_0_Wire_4', 'Gate_5_Wire_2', 'Gate_0_Wire_0', 'Gate_3_Wire_3', 'Gate_3_Wire_1'}"
