Circuit Name,No of Lines,No of Gates,Library,Fault Model,Population Size,Threshold,Total Faults,Detected Faults,Fault Coverage,Minimal Vector Set,Execution Time,Detected Fault Locations
3_17_13,3,6,MCT,GAF,20,100.0,7,3,85.71428571428571,"[5, 6, 1]",2.514999999999418,"{'Level_2', 'Level_1', 'Level_6'}"
4_49_17,4,12,MCT,GAF,20,100.0,13,11,76.92307692307693,"[6, 13, 0, 9]",180.0,"{'Level_12', 'Level_10', 'Level_5', 'Level_11', 'Level_2', 'Level_3', 'Level_4', 'Level_9', 'Level_1', 'Level_7', 'Level_6'}"
4gt12-v0_86,5,14,MCT,GAF,20,100.0,15,12,0.0,[],180.0,"{'Level_12', 'Level_13', 'Level_10', 'Level_3', 'Level_11', 'Level_2', 'Level_4', 'Level_5', 'Level_14', 'Level_9', 'Level_1', 'Level_6'}"
alu-v0_26,5,6,MCT,GAF,20,100.0,7,6,0.0,[],180.0,"{'Level_3', 'Level_5', 'Level_4', 'Level_2', 'Level_1', 'Level_6'}"
cnt3-5_180,16,20,MCT,GAF,20,100.0,21,16,0.0,[],180.0,"{'Level_12', 'Level_13', 'Level_10', 'Level_16', 'Level_4', 'Level_9', 'Level_1', 'Level_8', 'Level_19', 'Level_3', 'Level_5', 'Level_11', 'Level_2', 'Level_18', 'Level_17', 'Level_20'}"
cycle10_2_110,12,19,MCT,GAF,20,100.0,20,10,0.0,[],180.0,"{'Level_3', 'Level_5', 'Level_4', 'Level_9', 'Level_18', 'Level_7', 'Level_17', 'Level_19', 'Level_8', 'Level_6'}"
graycode6_47,6,5,NCT,GAF,20,100.0,6,5,0.0,[],180.0,"{'Level_3', 'Level_5', 'Level_4', 'Level_2', 'Level_1'}"
ham3_102,3,5,MCT,GAF,20,100.0,6,3,83.33333333333334,"[7, 6, 0]",1.8910000000032596,"{'Level_4', 'Level_3', 'Level_5'}"
hwb4_51,4,11,MCF,GAF,20,100.0,12,9,58.333333333333336,"[11, 2, 4, 6]",180.0,"{'Level_3', 'Level_5', 'Level_10', 'Level_4', 'Level_2', 'Level_9', 'Level_7', 'Level_8', 'Level_6'}"
mod5d1_63,5,7,MCT,GAF,20,100.0,8,7,0.0,[],180.0,"{'Level_3', 'Level_5', 'Level_4', 'Level_2', 'Level_1', 'Level_7', 'Level_6'}"
one-two-three-v0_97,5,11,MCT,GAF,20,100.0,12,8,0.0,[],180.0,"{'Level_10', 'Level_5', 'Level_11', 'Level_2', 'Level_9', 'Level_1', 'Level_7', 'Level_6'}"
rd32-v0_66,4,4,MCT,GAF,20,100.0,5,3,80.0,"[7, 13, 14, 15]",180.0,"{'Level_1', 'Level_4', 'Level_2'}"
sys6-v0_144,10,15,MCT+P,GAF,20,100.0,16,15,0.0,[],180.0,"{'Level_13', 'Level_12', 'Level_10', 'Level_4', 'Level_9', 'Level_1', 'Level_8', 'Level_6', 'Level_15', 'Level_3', 'Level_5', 'Level_11', 'Level_2', 'Level_14', 'Level_7'}"
