Circuit Name,No of Lines,No of Gates,Library,Fault Model,Population Size,Threshold,Total Faults,Detected Faults,Fault Coverage,Minimal Vector Set,Execution Time,Detected Fault Locations
3_17_13,3,6,MCT,RGF,20,100.0,6,6,100.0,"[0, 5]",0.015999999988707714,"{'Gate_5_Odd', 'Gate_3_Odd', 'Gate_1_Odd', 'Gate_0_Odd', 'Gate_4_Odd', 'Gate_2_Odd'}"
4_49_17,4,12,MCT,RGF,20,100.0,12,12,100.0,"[15, 7, 10]",0.13999999999941792,"{'Gate_5_Odd', 'Gate_1_Odd', 'Gate_3_Odd', 'Gate_8_Odd', 'Gate_0_Odd', 'Gate_4_Odd', 'Gate_6_Odd', 'Gate_11_Odd', 'Gate_10_Odd', 'Gate_9_Odd', 'Gate_2_Odd', 'Gate_7_Odd'}"
4gt12-v0_86,5,14,MCT,RGF,20,100.0,14,14,100.0,"[8, 23]",0.01600000000325963,"{'Gate_5_Odd', 'Gate_1_Odd', 'Gate_3_Odd', 'Gate_8_Odd', 'Gate_12_Odd', 'Gate_0_Odd', 'Gate_4_Odd', 'Gate_6_Odd', 'Gate_11_Odd', 'Gate_10_Odd', 'Gate_9_Odd', 'Gate_13_Odd', 'Gate_2_Odd', 'Gate_7_Odd'}"
alu-v0_26,5,6,MCT,RGF,20,100.0,6,6,100.0,"[7, 14]",0.014999999999417923,"{'Gate_5_Odd', 'Gate_1_Odd', 'Gate_3_Odd', 'Gate_0_Odd', 'Gate_4_Odd', 'Gate_2_Odd'}"
cnt3-5_180,16,20,MCT,RGF,20,100.0,20,20,100.0,"[21882, 22294, 19161, 59770, 56799, 65535, 19233, 940]",0.0629999999946449,"{'Gate_5_Odd', 'Gate_17_Odd', 'Gate_16_Odd', 'Gate_0_Odd', 'Gate_6_Odd', 'Gate_10_Odd', 'Gate_2_Odd', 'Gate_18_Odd', 'Gate_14_Odd', 'Gate_19_Odd', 'Gate_1_Odd', 'Gate_3_Odd', 'Gate_8_Odd', 'Gate_12_Odd', 'Gate_4_Odd', 'Gate_11_Odd', 'Gate_13_Odd', 'Gate_9_Odd', 'Gate_7_Odd', 'Gate_15_Odd'}"
cycle10_2_110,12,19,MCT,RGF,20,100.0,19,10,0.0,[],180.0,"{'Gate_17_Odd', 'Gate_16_Odd', 'Gate_18_Odd', 'Gate_8_Odd', 'Gate_12_Odd', 'Gate_6_Odd', 'Gate_13_Odd', 'Gate_14_Odd', 'Gate_7_Odd', 'Gate_15_Odd'}"
graycode6_47,6,5,NCT,RGF,20,100.0,5,5,100.0,"[63, 27, 47]",0.0,"{'Gate_1_Odd', 'Gate_3_Odd', 'Gate_0_Odd', 'Gate_4_Odd', 'Gate_2_Odd'}"
ham3_102,3,5,MCT,RGF,20,100.0,5,5,100.0,"[5, 3]",0.0,"{'Gate_1_Odd', 'Gate_3_Odd', 'Gate_2_Odd', 'Gate_0_Odd', 'Gate_4_Odd'}"
hwb4_51,4,11,MCF,RGF,20,100.0,11,11,100.0,"[7, 5]",0.014999999999417923,"{'Gate_5_Odd', 'Gate_1_Odd', 'Gate_3_Odd', 'Gate_8_Odd', 'Gate_0_Odd', 'Gate_4_Odd', 'Gate_6_Odd', 'Gate_10_Odd', 'Gate_9_Odd', 'Gate_2_Odd', 'Gate_7_Odd'}"
mod5d1_63,5,7,MCT,RGF,20,100.0,7,7,100.0,"[7, 12]",0.0,"{'Gate_5_Odd', 'Gate_1_Odd', 'Gate_3_Odd', 'Gate_0_Odd', 'Gate_4_Odd', 'Gate_6_Odd', 'Gate_2_Odd'}"
one-two-three-v0_97,5,11,MCT,RGF,20,100.0,11,11,100.0,"[1, 19]",0.01600000000325963,"{'Gate_5_Odd', 'Gate_1_Odd', 'Gate_3_Odd', 'Gate_8_Odd', 'Gate_0_Odd', 'Gate_4_Odd', 'Gate_6_Odd', 'Gate_10_Odd', 'Gate_9_Odd', 'Gate_2_Odd', 'Gate_7_Odd'}"
rd32-v0_66,4,4,MCT,RGF,20,100.0,4,4,100.0,"[10, 12]",0.0,"{'Gate_1_Odd', 'Gate_3_Odd', 'Gate_2_Odd', 'Gate_0_Odd'}"
sys6-v0_144,10,15,MCT+P,RGF,20,100.0,15,10,0.0,[],180.0,"{'Gate_5_Odd', 'Gate_1_Odd', 'Gate_3_Odd', 'Gate_8_Odd', 'Gate_0_Odd', 'Gate_4_Odd', 'Gate_6_Odd', 'Gate_9_Odd', 'Gate_2_Odd', 'Gate_7_Odd'}"
