Circuit Name,No of Lines,No of Gates,Library,Fault Model,Population Size,Threshold,Total Faults,Detected Faults,Fault Coverage,Minimal Vector Set,Execution Time,Detected Fault Locations
3_17_13,3,6,MCT,SMGF,20,100.0,6,6,100.0,"[0, 5]",0.014999999999417923,"{'Level_5', 'Level_2', 'Level_4', 'Level_0', 'Level_1', 'Level_3'}"
4_49_17,4,12,MCT,SMGF,20,100.0,12,12,100.0,"[15, 7, 10]",0.046999999991385266,"{'Level_9', 'Level_7', 'Level_5', 'Level_11', 'Level_8', 'Level_2', 'Level_4', 'Level_10', 'Level_0', 'Level_1', 'Level_6', 'Level_3'}"
4gt12-v0_86,5,14,MCT,SMGF,20,100.0,14,14,100.0,"[8, 15]",0.01600000000325963,"{'Level_7', 'Level_9', 'Level_5', 'Level_8', 'Level_11', 'Level_12', 'Level_2', 'Level_10', 'Level_4', 'Level_0', 'Level_1', 'Level_6', 'Level_3', 'Level_13'}"
alu-v0_26,5,6,MCT,SMGF,20,100.0,6,6,100.0,"[7, 13]",0.0,"{'Level_5', 'Level_2', 'Level_4', 'Level_0', 'Level_1', 'Level_3'}"
cnt3-5_180,16,20,MCT,SMGF,20,100.0,20,20,100.0,"[54182, 51881, 8022, 22121, 65535, 37110, 34374, 55541]",0.031000000002677552,"{'Level_5', 'Level_11', 'Level_2', 'Level_6', 'Level_18', 'Level_14', 'Level_3', 'Level_16', 'Level_9', 'Level_17', 'Level_7', 'Level_15', 'Level_8', 'Level_19', 'Level_12', 'Level_4', 'Level_10', 'Level_0', 'Level_1', 'Level_13'}"
cycle10_2_110,12,19,MCT,SMGF,20,100.0,19,7,0.0,[],180.0,"{'Level_7', 'Level_5', 'Level_8', 'Level_6', 'Level_18', 'Level_16', 'Level_17'}"
graycode6_47,6,5,NCT,SMGF,20,100.0,5,5,100.0,"[63, 21, 22]",0.0,"{'Level_4', 'Level_0', 'Level_1', 'Level_3', 'Level_2'}"
ham3_102,3,5,MCT,SMGF,20,100.0,5,5,100.0,"[5, 3]",0.0,"{'Level_4', 'Level_0', 'Level_1', 'Level_3', 'Level_2'}"
hwb4_51,4,11,MCF,SMGF,20,100.0,11,11,100.0,"[7, 5]",0.0,"{'Level_9', 'Level_7', 'Level_5', 'Level_8', 'Level_2', 'Level_4', 'Level_10', 'Level_0', 'Level_1', 'Level_6', 'Level_3'}"
mod5d1_63,5,7,MCT,SMGF,20,100.0,7,7,100.0,"[7, 12]",0.0,"{'Level_5', 'Level_2', 'Level_4', 'Level_0', 'Level_1', 'Level_6', 'Level_3'}"
one-two-three-v0_97,5,11,MCT,SMGF,20,100.0,11,11,100.0,"[1, 10]",0.01600000000325963,"{'Level_7', 'Level_9', 'Level_5', 'Level_8', 'Level_2', 'Level_10', 'Level_4', 'Level_0', 'Level_1', 'Level_6', 'Level_3'}"
rd32-v0_66,4,4,MCT,SMGF,20,100.0,4,4,100.0,"[10, 12]",0.0,"{'Level_0', 'Level_1', 'Level_3', 'Level_2'}"
sys6-v0_144,10,15,MCT+P,SMGF,20,100.0,15,15,100.0,"[506, 1023, 710, 1004, 990]",0.014999999999417923,"{'Level_5', 'Level_11', 'Level_2', 'Level_6', 'Level_14', 'Level_9', 'Level_3', 'Level_7', 'Level_8', 'Level_12', 'Level_4', 'Level_10', 'Level_0', 'Level_1', 'Level_13'}"
