Circuit Name,No of Lines,No of Gates,Library,Fault Model,Population Size,Threshold,Total Faults,Detected Faults,Fault Coverage,Minimal Vector Set,Execution Time,Detected Fault Locations
0410184_169,14,46,NCT,GAF,20,100.0,47,42,0.0,[],180.0,"{'Level_42', 'Level_5', 'Level_6', 'Level_2', 'Level_44', 'Level_19', 'Level_37', 'Level_21', 'Level_34', 'Level_9', 'Level_30', 'Level_8', 'Level_26', 'Level_24', 'Level_18', 'Level_23', 'Level_20', 'Level_40', 'Level_22', 'Level_33', 'Level_31', 'Level_25', 'Level_35', 'Level_45', 'Level_46', 'Level_14', 'Level_16', 'Level_1', 'Level_36', 'Level_12', 'Level_7', 'Level_17', 'Level_10', 'Level_39', 'Level_41', 'Level_29', 'Level_43', 'Level_3', 'Level_11', 'Level_32', 'Level_4', 'Level_38'}"
cycle17_3_112,20,48,MCT,GAF,20,100.0,49,25,0.0,[],180.0,"{'Level_13', 'Level_5', 'Level_6', 'Level_2', 'Level_27', 'Level_31', 'Level_48', 'Level_25', 'Level_28', 'Level_46', 'Level_14', 'Level_1', 'Level_15', 'Level_12', 'Level_7', 'Level_47', 'Level_29', 'Level_9', 'Level_30', 'Level_3', 'Level_11', 'Level_8', 'Level_26', 'Level_4', 'Level_10'}"
ham7_104,7,23,MCT,GAF,20,100.0,24,20,0.0,[],180.0,"{'Level_13', 'Level_18', 'Level_23', 'Level_20', 'Level_6', 'Level_22', 'Level_2', 'Level_19', 'Level_14', 'Level_16', 'Level_21', 'Level_12', 'Level_15', 'Level_7', 'Level_17', 'Level_9', 'Level_11', 'Level_8', 'Level_4', 'Level_10'}"
hwb5_300,28,88,MCT,GAF,20,100.0,89,88,0.0,[],180.0,"{'Level_13', 'Level_42', 'Level_84', 'Level_6', 'Level_86', 'Level_65', 'Level_54', 'Level_44', 'Level_50', 'Level_63', 'Level_67', 'Level_37', 'Level_21', 'Level_52', 'Level_47', 'Level_9', 'Level_26', 'Level_74', 'Level_60', 'Level_24', 'Level_57', 'Level_18', 'Level_40', 'Level_69', 'Level_22', 'Level_51', 'Level_33', 'Level_31', 'Level_35', 'Level_25', 'Level_64', 'Level_46', 'Level_14', 'Level_1', 'Level_17', 'Level_55', 'Level_39', 'Level_66', 'Level_75', 'Level_43', 'Level_71', 'Level_79', 'Level_27', 'Level_48', 'Level_32', 'Level_4', 'Level_88', 'Level_76', 'Level_10', 'Level_78', 'Level_73', 'Level_5', 'Level_81', 'Level_70', 'Level_2', 'Level_28', 'Level_68', 'Level_19', 'Level_82', 'Level_80', 'Level_15', 'Level_87', 'Level_34', 'Level_30', 'Level_85', 'Level_49', 'Level_8', 'Level_58', 'Level_61', 'Level_83', 'Level_23', 'Level_77', 'Level_20', 'Level_53', 'Level_56', 'Level_36', 'Level_45', 'Level_16', 'Level_12', 'Level_7', 'Level_41', 'Level_72', 'Level_29', 'Level_59', 'Level_11', 'Level_3', 'Level_62', 'Level_38'}"
hwb5_54,5,24,MCF,GAF,20,100.0,25,16,0.0,[],180.0,"{'Level_13', 'Level_23', 'Level_5', 'Level_20', 'Level_6', 'Level_22', 'Level_19', 'Level_16', 'Level_21', 'Level_12', 'Level_15', 'Level_9', 'Level_11', 'Level_3', 'Level_4', 'Level_24'}"
hwb6_57,6,65,MCF,GAF,20,100.0,66,46,0.0,[],180.0,"{'Level_42', 'Level_6', 'Level_2', 'Level_65', 'Level_54', 'Level_44', 'Level_50', 'Level_28', 'Level_63', 'Level_19', 'Level_52', 'Level_21', 'Level_47', 'Level_30', 'Level_49', 'Level_61', 'Level_26', 'Level_58', 'Level_24', 'Level_57', 'Level_60', 'Level_18', 'Level_23', 'Level_53', 'Level_40', 'Level_22', 'Level_51', 'Level_33', 'Level_56', 'Level_31', 'Level_25', 'Level_64', 'Level_62', 'Level_46', 'Level_14', 'Level_1', 'Level_12', 'Level_17', 'Level_39', 'Level_41', 'Level_29', 'Level_43', 'Level_59', 'Level_11', 'Level_4', 'Level_10'}"
mod5adder_127,6,21,MCT,GAF,20,100.0,22,18,0.0,[],180.0,"{'Level_13', 'Level_18', 'Level_5', 'Level_20', 'Level_6', 'Level_2', 'Level_19', 'Level_14', 'Level_16', 'Level_1', 'Level_21', 'Level_7', 'Level_17', 'Level_9', 'Level_11', 'Level_3', 'Level_4', 'Level_10'}"
mux_246,22,35,MCT,GAF,20,100.0,36,26,0.0,[],180.0,"{'Level_13', 'Level_5', 'Level_6', 'Level_2', 'Level_28', 'Level_19', 'Level_21', 'Level_15', 'Level_34', 'Level_9', 'Level_8', 'Level_18', 'Level_23', 'Level_20', 'Level_22', 'Level_14', 'Level_16', 'Level_1', 'Level_12', 'Level_7', 'Level_17', 'Level_32', 'Level_27', 'Level_11', 'Level_3', 'Level_4'}"
rd53_131,7,28,MCT,GAF,20,100.0,29,26,0.0,[],180.0,"{'Level_13', 'Level_5', 'Level_6', 'Level_2', 'Level_28', 'Level_19', 'Level_21', 'Level_15', 'Level_9', 'Level_8', 'Level_24', 'Level_18', 'Level_23', 'Level_20', 'Level_22', 'Level_25', 'Level_14', 'Level_16', 'Level_1', 'Level_12', 'Level_7', 'Level_17', 'Level_27', 'Level_3', 'Level_4', 'Level_10'}"
rd84_142,15,28,MCT,GAF,20,100.0,29,27,0.0,[],180.0,"{'Level_13', 'Level_18', 'Level_23', 'Level_5', 'Level_20', 'Level_6', 'Level_22', 'Level_2', 'Level_25', 'Level_28', 'Level_19', 'Level_14', 'Level_16', 'Level_1', 'Level_21', 'Level_12', 'Level_15', 'Level_17', 'Level_7', 'Level_9', 'Level_27', 'Level_11', 'Level_8', 'Level_26', 'Level_4', 'Level_24', 'Level_10'}"
