Circuit Name,No of Lines,No of Gates,Fault Model,Total Faults,GA Approach,Detected Faults,Fault Coverage,Test Set Size,Best Vector Set,Execution Time,Actual Generations,Time Limit Exceeded,Minimization Skipped,date,time
0410184_169,14,46,BF,1196,Directed,1196,100,4,"[10461, 4777, 10114, 10245]",0.1419,1,FALSE,FALSE,02-04-2026,16:47:01
0410184_169,14,46,CAF,549,Directed,549,100,12,"[8024, 11200, 15051, 1683, 12795, 2028, 2837, 7315, 3780, 7904, 1326, 11979]",0.4923,3,FALSE,FALSE,02-04-2026,16:47:00
0410184_169,14,46,GAF,47,Directed,47,100,3,"[13298, 13947, 7666]",0.0077,1,FALSE,FALSE,02-04-2026,16:16:08
0410184_169,14,46,MMGF,91,Directed,91,100,3,"[5911, 12263, 7083]",0.0114,1,FALSE,FALSE,02-04-2026,16:16:08
0410184_169,14,46,PMGF,60,Directed,60,100,5,"[10349, 16039, 5092, 10870, 9816]",0.0271,1,FALSE,FALSE,02-04-2026,16:47:00
0410184_169,14,46,RGF,46,Directed,46,100,3,"[13682, 15658, 4395]",0.1973,2,FALSE,FALSE,02-04-2026,16:16:09
0410184_169,14,46,SAF,190,Directed,190,100,4,"[15236, 5589, 3729, 15215]",0.0302,1,FALSE,FALSE,02-04-2026,16:16:08
0410184_169,14,46,SMGF,46,Directed,46,100,3,"[5411, 6107, 14251]",0.006,1,FALSE,FALSE,02-04-2026,16:16:08
0410184_169,14,46,SAF,190,Random,190,100,5,"[15927, 12412, 5541, 140, 15771]",0.0232,1,FALSE,FALSE,03-04-2026,23:20:46
0410184_169,14,46,MMGF,91,Random,91,100,3,"[15703, 15702, 12242]",0.3381,4,FALSE,FALSE,03-04-2026,23:20:46
0410184_169,14,46,SMGF,46,Random,46,100,3,"[3423, 7221, 10994]",0.0046,1,FALSE,FALSE,03-04-2026,23:20:46
0410184_169,14,46,PMGF,60,Random,60,100,5,"[265, 8606, 9362, 1446, 5069]",0.0084,1,FALSE,FALSE,03-04-2026,23:20:46
0410184_169,14,46,GAF,47,Random,47,100,4,"[9943, 6422, 9578, 9301]",0.0066,1,FALSE,FALSE,03-04-2026,23:20:46
0410184_169,14,46,CAF,549,Random,549,100,10,"[4424, 1808, 16191, 3671, 880, 15687, 4467, 2950, 14111, 4152]",1.2987,15,FALSE,FALSE,03-04-2026,23:20:48
0410184_169,14,46,RGF,46,Random,46,100,3,"[12625, 7947, 11601]",0.0056,1,FALSE,FALSE,03-04-2026,23:20:48
0410184_169,14,46,BF,1196,Random,1196,100,4,"[10481, 664, 6179, 12605]",0.112,1,FALSE,FALSE,03-04-2026,23:20:48
0410184_169,14,46,MBF,6072,Random,6072,100,3,"[10354, 8771, 2221]",0.9252,1,FALSE,FALSE,03-04-2026,23:50:50
0410184_169,14,46,MBF,6072,Directed,6072,100,3,"[11362, 5577, 2370]",0.9029,1,FALSE,FALSE,03-04-2026,23:58:47
3_17_13,3,6,BF,24,Directed,24,100,2,"[7, 5]",0.0006,1,FALSE,FALSE,02-04-2026,16:06:16
3_17_13,3,6,CAF,5,Directed,5,100,2,"[5, 0]",2.1248,14,FALSE,FALSE,02-04-2026,16:06:16
3_17_13,3,6,GAF,7,Directed,7,100,2,"[3, 0]",0.0005,1,FALSE,FALSE,02-04-2026,16:06:14
3_17_13,3,6,MMGF,11,Directed,11,100,2,"[5, 0]",0.0005,1,FALSE,FALSE,02-04-2026,16:06:12
3_17_13,3,6,PMGF,9,Directed,9,100,2,"[7, 6]",1.6077,11,FALSE,FALSE,02-04-2026,16:06:14
3_17_13,3,6,RGF,6,Directed,6,100,2,"[0, 1]",0.0005,1,FALSE,FALSE,02-04-2026,16:06:16
3_17_13,3,6,SAF,26,Directed,26,100,3,"[6, 2, 1]",0.7654,7,FALSE,FALSE,02-04-2026,16:06:09
3_17_13,3,6,SMGF,6,Directed,6,100,2,"[3, 5]",0.5101,5,FALSE,FALSE,02-04-2026,16:06:12
3_17_13,3,6,BF,24,Random,24,100,3,"[2, 1, 3]",0.0005,1,FALSE,FALSE,02-04-2026,16:01:30
3_17_13,3,6,CAF,5,Random,5,100,3,"[6, 0, 1]",1.9472,13,FALSE,FALSE,02-04-2026,16:01:27
3_17_13,3,6,GAF,7,Random,7,100,2,"[7, 4]",0.0005,1,FALSE,FALSE,02-04-2026,16:01:25
3_17_13,3,6,MMGF,11,Random,11,100,3,"[6, 0, 1]",0.0008,1,FALSE,FALSE,02-04-2026,16:01:23
3_17_13,3,6,PMGF,9,Random,9,100,2,"[7, 6]",1.3251,9,FALSE,FALSE,02-04-2026,16:01:25
3_17_13,3,6,RGF,6,Random,6,100,2,"[3, 5]",0.7748,7,FALSE,FALSE,02-04-2026,16:01:30
3_17_13,3,6,SAF,26,Random,26,100,3,"[7, 6, 1]",0.0008,1,FALSE,FALSE,02-04-2026,16:01:23
3_17_13,3,6,SMGF,6,Random,6,100,2,"[0, 3]",0.0004,1,FALSE,FALSE,02-04-2026,16:01:23
4_49_17,4,12,BF,72,Directed,72,100,3,"[10, 11, 4]",0.0012,1,FALSE,FALSE,02-04-2026,16:05:09
4_49_17,4,12,CAF,21,Directed,21,100,4,"[2, 5, 9, 6]",2.531,18,FALSE,FALSE,02-04-2026,16:05:06
4_49_17,4,12,GAF,13,Directed,13,100,2,"[7, 14]",0.0016,1,FALSE,FALSE,02-04-2026,16:05:04
4_49_17,4,12,MMGF,23,Directed,23,100,3,"[5, 9, 15]",0.0005,1,FALSE,FALSE,02-04-2026,16:04:36
4_49_17,4,12,PMGF,20,Directed,20,100,4,"[13, 11, 12, 5]",0.1105,1,FALSE,FALSE,02-04-2026,16:05:04
4_49_17,4,12,RGF,12,Directed,12,100,3,"[12, 11, 10]",0.0007,1,FALSE,FALSE,02-04-2026,16:05:09
4_49_17,4,12,SAF,54,Directed,54,100,4,"[8, 6, 0, 5]",0.001,1,FALSE,FALSE,02-04-2026,16:04:36
4_49_17,4,12,SMGF,12,Directed,12,100,3,"[15, 12, 7]",0.0006,1,FALSE,FALSE,02-04-2026,16:04:36
4_49_17,4,12,BF,72,Random,72,100,3,"[4, 3, 5]",0.0009,1,FALSE,FALSE,02-04-2026,16:00:40
4_49_17,4,12,CAF,21,Random,21,100,4,"[2, 5, 9, 6]",1.152,10,FALSE,FALSE,02-04-2026,16:00:40
4_49_17,4,12,GAF,13,Random,13,100,3,"[2, 4, 1]",0.0009,1,FALSE,FALSE,02-04-2026,16:00:33
4_49_17,4,12,MMGF,23,Random,23,100,3,"[11, 5, 15]",0.0007,1,FALSE,FALSE,02-04-2026,16:00:06
4_49_17,4,12,PMGF,20,Random,20,100,3,"[13, 10, 11]",0.0615,1,FALSE,FALSE,02-04-2026,16:00:33
4_49_17,4,12,RGF,12,Random,12,100,3,"[2, 11, 14]",0.0007,1,FALSE,FALSE,02-04-2026,16:00:40
4_49_17,4,12,SAF,54,Random,54,100,3,"[10, 4, 9]",0.0011,1,FALSE,FALSE,02-04-2026,16:00:06
4_49_17,4,12,SMGF,12,Random,12,100,3,"[15, 12, 7]",0.001,1,FALSE,FALSE,02-04-2026,16:00:06
4_49_17,4,12,MBF,24,Random,24,100,2,"[7, 14]",0.0013,1,FALSE,FALSE,03-04-2026,23:47:38
4_49_17,4,12,MBF,24,Directed,24,100,1,[4],0.0002,1,FALSE,FALSE,03-04-2026,23:58:23
4gt12-v0_86,5,14,BF,112,Directed,112,100,3,"[20, 18, 12]",0.3361,3,FALSE,FALSE,02-04-2026,16:04:19
4gt12-v0_86,5,14,CAF,36,Directed,36,100,8,"[7, 10, 6, 27, 2, 15, 26, 23]",1.1764,8,FALSE,FALSE,02-04-2026,16:04:18
4gt12-v0_86,5,14,GAF,15,Directed,15,100,4,"[2, 14, 31, 24]",0.0023,1,FALSE,FALSE,02-04-2026,16:04:14
4gt12-v0_86,5,14,MMGF,27,Directed,27,100,3,"[3, 29, 7]",0.1273,2,FALSE,FALSE,02-04-2026,16:04:07
4gt12-v0_86,5,14,PMGF,36,Directed,36,100,5,"[29, 19, 11, 23, 7]",1.6524,14,FALSE,FALSE,02-04-2026,16:04:14
4gt12-v0_86,5,14,RGF,14,Directed,14,100,3,"[27, 2, 6]",0.3681,3,FALSE,FALSE,02-04-2026,16:04:19
4gt12-v0_86,5,14,SAF,68,Directed,68,100,4,"[27, 25, 7, 26]",0.0029,1,FALSE,FALSE,02-04-2026,16:04:04
4gt12-v0_86,5,14,SMGF,14,Directed,14,100,2,"[29, 2]",0.0017,1,FALSE,FALSE,02-04-2026,16:04:10
4gt12-v0_86,5,14,BF,112,Random,112,100,3,"[9, 29, 15]",1.8807,15,FALSE,FALSE,02-04-2026,15:59:36
4gt12-v0_86,5,14,CAF,36,Random,36,100,6,"[14, 2, 26, 6, 3, 30]",1.5932,13,FALSE,FALSE,02-04-2026,15:59:27
4gt12-v0_86,5,14,GAF,15,Random,15,100,2,"[21, 2]",0.0026,1,FALSE,FALSE,02-04-2026,15:59:26
4gt12-v0_86,5,14,MMGF,27,Random,27,100,3,"[3, 26, 7]",1.7738,12,FALSE,FALSE,02-04-2026,15:59:14
4gt12-v0_86,5,14,PMGF,36,Random,36,100,4,"[28, 19, 11, 7]",1.3471,11,FALSE,FALSE,02-04-2026,15:59:25
4gt12-v0_86,5,14,RGF,14,Random,14,100,2,"[3, 31]",0.1444,2,FALSE,FALSE,02-04-2026,15:59:34
4gt12-v0_86,5,14,SAF,68,Random,68,100,4,"[27, 16, 9, 22]",0.0028,1,FALSE,FALSE,02-04-2026,15:59:12
4gt12-v0_86,5,14,SMGF,14,Random,14,100,2,"[3, 31]",1.2488,10,FALSE,FALSE,02-04-2026,15:59:19
4gt12-v0_86,5,14,MBF,84,Random,84,100,1,[9],0.0014,1,FALSE,FALSE,03-04-2026,23:47:38
4gt12-v0_86,5,14,MBF,84,Directed,84,100,2,"[10, 26]",0.0026,1,FALSE,FALSE,03-04-2026,23:58:23
alu-v0_26,5,6,BF,48,Directed,48,100,3,"[23, 21, 31]",0.6338,6,FALSE,FALSE,02-04-2026,16:06:07
alu-v0_26,5,6,CAF,16,Directed,16,100,4,"[14, 7, 31, 29]",2.2959,15,FALSE,FALSE,02-04-2026,16:06:06
alu-v0_26,5,6,GAF,7,Directed,7,100,2,"[21, 7]",0.0006,1,FALSE,FALSE,02-04-2026,16:05:56
