Circuit Name,No of Lines,No of Gates,Fault Model,Actual Generations,Total Faults,Detected Faults,Fault Coverage,Minimal Vector Set,Test Set Size,Execution Time,Time Limit Exceeded,Minimization Skipped,Detected Faults List
3_17_13,3,6,SMGF,1,6,6,100.0,"[0, 6]",2,0.0,False,False,"[True, True, True, True, True, True]"
4_49_17,4,12,SMGF,1,12,12,100.0,"[10, 7, 4]",3,0.0,False,False,"[True, True, True, True, True, True, True, True, True, True, True, True]"
4gt12-v0_86,5,14,SMGF,1,14,14,100.0,"[24, 31]",2,0.0,False,False,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
alu-v0_26,5,6,SMGF,1,6,6,100.0,"[14, 27]",2,0.0,False,False,"[True, True, True, True, True, True]"
cnt3-5_180,16,20,SMGF,20,20,19,95.0,"[19449, 24157, 52154, 52153, 52152, 32734, 32733, 27642, 27581, 24283, 24281, 19385, 53341, 27620, 24292, 24154, 7005, 53850, 53849, 48121, 28027, 28026, 27578, 27577, 24506, 24250, 15353, 53348, 44985]",29,0.28200000000651926,False,True,"[True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
cycle10_2_110,12,19,SMGF,5,19,19,100.0,"[3071, 2047, 4047, 4043, 3023, 3019, 2007, 1999, 1995, 1951, 1935, 1927, 2815, 2811]",14,0.062000000005355105,False,True,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
graycode6_47,6,5,SMGF,1,5,5,100.0,"[59, 55, 47]",3,0.0,False,False,"[True, True, True, True, True]"
ham3_102,3,5,SMGF,1,5,5,100.0,"[5, 3]",2,0.0,False,False,"[True, True, True, True, True]"
hwb4_51,4,11,SMGF,4,11,11,100.0,"[7, 13]",2,0.030999999988125637,False,False,"[True, True, True, True, True, True, True, True, True, True, True]"
mod5d1_63,5,7,SMGF,1,7,7,100.0,"[6, 5]",2,0.0,False,False,"[True, True, True, True, True, True, True]"
one-two-three-v0_97,5,11,SMGF,20,11,8,72.72727272727273,"[19, 18]",2,0.21900000001187436,False,False,"[True, True, True, False, True, False, True, False, True, True, True]"
rd32-v0_66,4,4,SMGF,1,4,4,100.0,"[11, 14]",2,0.0,False,False,"[True, True, True, True]"
sys6-v0_144,10,15,SMGF,1,15,15,100.0,"[861, 844, 971, 825, 427]",5,0.014999999984866008,False,False,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
