Circuit Name,No of Lines,No of Gates,Fault Model,Actual Generations,Total Faults,Detected Faults,Fault Coverage,Test Set Size,Execution Time,Time Limit Exceeded,Minimization Skipped,date,time
cnt3-5_180,16,20,SMGF,1,20,20,100.0,32,0.01499999999987267,False,True,2026-02-26,11:26:10
cnt3-5_180,16,20,SA-1,1,60,60,100.0,32,0.016000000000531145,False,True,2026-02-26,11:27:37
cnt3-5_180,16,20,SA-0,1,60,60,100.0,32,0.015000000000327418,False,True,2026-02-26,11:28:00
cnt3-5_180,16,20,MMGF,1,1048574,1048574,100.0,32,162.90599999999995,False,True,2026-02-26,11:31:01
4gt12-v0_86,5,14,SA-1,1,34,34,100.0,1,0.03099999999994907,False,False,2026-02-26,11:43:28
4gt12-v0_86,5,14,SA-0,1,34,34,100.0,2,0.07799999999951979,False,False,2026-02-26,11:43:28
4gt12-v0_86,5,14,SMGF,20,14,13,92.85714285714286,2,1.0469999999995707,False,False,2026-02-26,11:43:29
4gt12-v0_86,5,14,CAF,12,36,36,100.0,5,0.5630000000001019,False,False,2026-02-26,11:43:29
4gt12-v0_86,5,14,RGF,20,14,12,85.71428571428571,3,0.6090000000003783,False,False,2026-02-26,11:43:30
4gt12-v0_86,5,14,PMGF,20,36,34,94.44444444444444,5,0.9530000000004293,False,False,2026-02-26,11:43:30
4gt12-v0_86,5,14,BF,1,280,280,100.0,4,0.14000000000032742,False,False,2026-02-26,11:43:30
4gt12-v0_86,5,14,MBF,1,2660,2660,100.0,4,0.25,False,False,2026-02-26,11:43:30
4gt12-v0_86,5,14,MMGF,3,16382,16382,100.0,4,2.625,False,False,2026-02-26,11:43:31
cnt3-5_180,16,20,SA-0,1,60,60,100.0,32,0.25,False,True,2026-02-26,11:45:07
cnt3-5_180,16,20,SMGF,6,20,20,100.0,25,0.6869999999998981,False,True,2026-02-26,11:45:08
cnt3-5_180,16,20,SA-1,1,60,60,100.0,32,0.2650000000003274,False,True,2026-02-26,11:45:07
cnt3-5_180,16,20,GAF,1,21,21,100.0,32,0.2650000000003274,False,True,2026-02-26,11:45:08
cnt3-5_180,16,20,RGF,1,20,20,100.0,32,0.26599999999962165,False,True,2026-02-26,11:45:09
cnt3-5_180,16,20,PMGF,20,70,69,98.57142857142858,32,2.6409999999996217,False,True,2026-02-26,11:45:11
cnt3-5_180,16,20,BF,1,4800,4800,100.0,32,4.811999999999898,False,True,2026-02-26,11:45:14
cnt3-5_180,16,20,CAF,20,260,225,86.53846153846155,29,6.266000000000531,False,True,2026-02-26,11:45:15
cnt3-5_180,16,20,MBF,1,573600,573600,100.0,32,300.6880000000001,False,True,2026-02-26,11:50:12
cnt3-5_180,16,20,MMGF,1,1048574,1048574,100.0,32,311.59299999999985,False,True,2026-02-26,11:50:19
3_17_13,3,6,SA-0,1,13,13,100.0,3,0.0,False,False,2026-02-26,11:52:29
3_17_13,3,6,MMGF,1,62,62,100.0,3,0.0,False,False,2026-02-26,11:52:29
3_17_13,3,6,SMGF,2,6,6,100.0,2,0.03099999999994907,False,False,2026-02-26,11:52:29
3_17_13,3,6,GAF,1,7,7,100.0,2,0.0,False,False,2026-02-26,11:52:29
3_17_13,3,6,CAF,1,5,5,100.0,3,0.0,False,False,2026-02-26,11:52:29
3_17_13,3,6,PMGF,4,9,9,100.0,2,0.04700000000048021,False,False,2026-02-26,11:52:29
3_17_13,3,6,SA-1,20,13,11,84.61538461538461,2,0.28099999999994907,False,False,2026-02-26,11:52:29
3_17_13,3,6,BF,2,36,36,100.0,3,0.06199999999989814,False,False,2026-02-26,11:52:30
3_17_13,3,6,MBF,1,90,90,100.0,3,0.0,False,False,2026-02-26,11:52:30
3_17_13,3,6,RGF,20,6,5,83.33333333333334,2,0.25,False,False,2026-02-26,11:52:30
3_17_13,3,6,SA-1,1,13,13,100.0,2,0.0,False,False,2026-02-26,11:52:44
3_17_13,3,6,SMGF,1,6,6,100.0,2,0.0,False,False,2026-02-26,11:52:44
3_17_13,3,6,SA-0,1,13,13,100.0,2,0.0,False,False,2026-02-26,11:52:44
3_17_13,3,6,MMGF,1,62,62,100.0,3,0.0,False,False,2026-02-26,11:52:44
3_17_13,3,6,GAF,1,7,7,100.0,2,0.0,False,False,2026-02-26,11:52:44
3_17_13,3,6,PMGF,1,9,9,100.0,4,0.0,False,False,2026-02-26,11:52:44
3_17_13,3,6,BF,1,36,36,100.0,3,0.06300000000010186,False,False,2026-02-26,11:52:45
3_17_13,3,6,MBF,1,90,90,100.0,3,0.01599999999962165,False,False,2026-02-26,11:52:45
3_17_13,3,6,RGF,20,6,5,83.33333333333334,2,0.375,False,False,2026-02-26,11:52:45
3_17_13,3,6,CAF,20,5,3,60.0,2,0.5309999999999491,False,False,2026-02-26,11:52:45
3_17_13,3,6,SA-0,1,13,13,100.0,3,0.218,False,False,2026-02-26,12:20:14
3_17_13,3,6,MMGF,20,62,61,98.38709677419355,3,0.218,False,False,2026-02-26,12:20:14
3_17_13,3,6,SMGF,1,6,6,100.0,2,0.234,False,False,2026-02-26,12:20:14
3_17_13,3,6,SA-1,1,13,13,100.0,3,0.234,False,False,2026-02-26,12:20:14
3_17_13,3,6,PMGF,1,9,9,100.0,2,0.0,False,False,2026-02-26,12:20:14
3_17_13,3,6,GAF,1,7,7,100.0,2,0.0,False,False,2026-02-26,12:20:14
3_17_13,3,6,RGF,20,6,5,83.33333333333334,2,0.219,False,False,2026-02-26,12:20:15
3_17_13,3,6,CAF,1,5,5,100.0,2,0.219,False,False,2026-02-26,12:20:15
3_17_13,3,6,BF,1,36,36,100.0,3,0.219,False,False,2026-02-26,12:20:15
3_17_13,3,6,MBF,1,90,90,100.0,3,0.171,False,False,2026-02-26,12:20:15
cycle10_2_110,12,19,SA-0,1,119,119,100.0,23,0.047,False,True,2026-02-26,12:21:17
cycle10_2_110,12,19,SA-1,1,119,119,100.0,24,0.203,False,True,2026-02-26,12:21:18
cycle10_2_110,12,19,GAF,1,20,20,100.0,24,6.484,False,True,2026-02-26,12:21:30
cycle10_2_110,12,19,SMGF,20,19,11,57.89473684210527,16,21.562,False,True,2026-02-26,12:21:39
cycle10_2_110,12,19,PMGF,20,3049,1955,64.11938340439488,24,26.016,False,True,2026-02-26,12:21:47
cycle10_2_110,12,19,BF,1,2508,2508,100.0,24,7.016,False,True,2026-02-26,12:21:56
cycle10_2_110,12,19,CAF,20,109,77,70.64220183486239,17,25.422,False,True,2026-02-26,12:21:57
cycle10_2_110,12,19,RGF,20,19,11,57.89473684210527,16,30.219,False,True,2026-02-26,12:22:09
